date,ticker,price
2001-03-19,VZ,21.47255
2001-03-20,VZ,20.664251
2001-03-21,VZ,20.255711
2001-03-22,VZ,20.207392
2001-03-23,VZ,20.624716
2001-03-26,VZ,21.08597
2001-03-27,VZ,22.012875
2001-03-28,VZ,20.730147
2001-03-29,VZ,21.173831
2001-03-30,VZ,21.657049
2001-04-02,VZ,21.37151
2001-04-03,VZ,20.910253
2001-04-04,VZ,21.481332
2001-04-05,VZ,21.74491
2001-04-06,VZ,21.893227
2001-04-09,VZ,22.247415
2001-04-10,VZ,22.597172
2001-04-11,VZ,22.335959
2001-04-12,VZ,23.057619
2001-04-16,VZ,23.022197
2001-04-17,VZ,23.420658
2001-04-18,VZ,23.580045
2001-04-19,VZ,23.686302
2001-04-20,VZ,23.491501
2001-04-23,VZ,23.42509
2001-04-24,VZ,23.380812
2001-04-25,VZ,24.430096
2001-04-26,VZ,24.567343
2001-04-27,VZ,24.660319
2001-04-30,VZ,24.381392
2001-05-01,VZ,25.098625
2001-05-02,VZ,25.191596
2001-05-03,VZ,24.70459
2001-05-04,VZ,24.70459
2001-05-07,VZ,25.160606
2001-05-08,VZ,24.616046
2001-05-09,VZ,23.827976
2001-05-10,VZ,23.646456
2001-05-11,VZ,23.593328
2001-05-14,VZ,23.845683
2001-05-15,VZ,23.90767
2001-05-16,VZ,24.306131
2001-05-17,VZ,23.788129
2001-05-18,VZ,23.978506
2001-05-21,VZ,24.204304
2001-05-22,VZ,24.098047
2001-05-23,VZ,23.774847
2001-05-24,VZ,23.872249
2001-05-25,VZ,23.894387
2001-05-29,VZ,24.142318
2001-05-30,VZ,23.90767
2001-05-31,VZ,24.283992
2001-06-01,VZ,24.235294
2001-06-04,VZ,24.527496
2001-06-05,VZ,24.571769
2001-06-06,VZ,24.098047
2001-06-07,VZ,23.597752
2001-06-08,VZ,23.686302
2001-06-11,VZ,23.82355
2001-06-12,VZ,24.062624
2001-06-13,VZ,23.730575
2001-06-14,VZ,23.619892
2001-06-15,VZ,23.22143
2001-06-18,VZ,23.106317
2001-06-19,VZ,23.066476
2001-06-20,VZ,23.349821
2001-06-21,VZ,23.553481
2001-06-22,VZ,23.265703
2001-06-25,VZ,22.933653
2001-06-26,VZ,23.464935
2001-06-27,VZ,23.15502
2001-06-28,VZ,23.735
2001-06-29,VZ,23.686302
2001-07-02,VZ,24.071481
2001-07-03,VZ,24.341551
2001-07-05,VZ,23.90767
2001-07-06,VZ,23.753827
2001-07-09,VZ,24.079346
2001-07-10,VZ,24.614444
2001-07-11,VZ,24.899826
2001-07-12,VZ,24.725922
2001-07-13,VZ,24.636736
2001-07-16,VZ,24.926581
2001-07-17,VZ,25.180754
2001-07-18,VZ,25.064814
2001-07-19,VZ,25.488433
2001-07-20,VZ,25.029143
2001-07-23,VZ,24.525258
2001-07-24,VZ,24.106101
2001-07-25,VZ,24.895368
2001-07-26,VZ,25.064814
2001-07-27,VZ,25.029143
2001-07-30,VZ,24.98009
2001-07-31,VZ,24.146233
